product,final_pnl,run,strategy,final_position
VEV_5400,0.0,00A,basket_all_far_quotes,0
VEV_6500,-21.0,00A,basket_all_far_quotes,21
VELVETFRUIT_EXTRACT,312.154296875,00A,basket_all_far_quotes,2
VEV_5500,0.0,00A,basket_all_far_quotes,0
VEV_4500,0.0,00A,basket_all_far_quotes,0
VEV_5000,0.0,00A,basket_all_far_quotes,0
VEV_4000,0.0,00A,basket_all_far_quotes,0
VEV_5100,0.0,00A,basket_all_far_quotes,0
VEV_5200,0.0,00A,basket_all_far_quotes,0
VEV_5300,0.0,00A,basket_all_far_quotes,0
HYDROGEL_PACK,489.8203125,00A,basket_all_far_quotes,-9
VEV_6000,-20.983932495117188,00A,basket_all_far_quotes,21
VEV_5400,13.286895751953123,00B,basket_all_gap_flow_follow,-17
VEV_6500,-3.510000112783019e-07,00B,basket_all_gap_flow_follow,-30
VELVETFRUIT_EXTRACT,-1004.078125,00B,basket_all_gap_flow_follow,-27
VEV_5500,-16.06597900390625,00B,basket_all_gap_flow_follow,-25
VEV_4500,9.922607421875,00B,basket_all_gap_flow_follow,-1
VEV_5000,10.0,00B,basket_all_gap_flow_follow,0
VEV_4000,-2833.916015625,00B,basket_all_gap_flow_follow,14
VEV_5100,23.8741455078125,00B,basket_all_gap_flow_follow,6
VEV_5200,0.0,00B,basket_all_gap_flow_follow,0
VEV_5300,31.61669921875,00B,basket_all_gap_flow_follow,12
HYDROGEL_PACK,489.8203125,00B,basket_all_gap_flow_follow,-9
VEV_6000,-0.0229541696608066,00B,basket_all_gap_flow_follow,-30
VEV_5400,-68.28689575195312,00C,basket_all_options_flow_fade,17
VEV_6500,-30.0,00C,basket_all_options_flow_fade,30
VELVETFRUIT_EXTRACT,0.0,00C,basket_all_options_flow_fade,0
VEV_5500,-30.93402099609375,00C,basket_all_options_flow_fade,25
VEV_4500,0.0,00C,basket_all_options_flow_fade,0
VEV_5000,0.0,00C,basket_all_options_flow_fade,0
VEV_4000,-317.8515625,00C,basket_all_options_flow_fade,-11
VEV_5100,0.0,00C,basket_all_options_flow_fade,0
VEV_5200,0.0,00C,basket_all_options_flow_fade,0
VEV_5300,-109.61669921875,00C,basket_all_options_flow_fade,-12
HYDROGEL_PACK,0.0,00C,basket_all_options_flow_fade,0
VEV_6000,-29.9770450592041,00C,basket_all_options_flow_fade,30
VEV_5400,0.0,01,passive_skew_signal,0
VEV_6500,0.0,01,passive_skew_signal,0
VELVETFRUIT_EXTRACT,641.7685546875,01,passive_skew_signal,-3
VEV_5500,0.0,01,passive_skew_signal,0
VEV_4500,0.0,01,passive_skew_signal,0
VEV_5000,0.203460693359375,01,passive_skew_signal,1
VEV_4000,134.232177734375,01,passive_skew_signal,3
VEV_5100,-0.0209808349609375,01,passive_skew_signal,1
VEV_5200,-0.4457931518554687,01,passive_skew_signal,1
VEV_5300,0.0,01,passive_skew_signal,0
HYDROGEL_PACK,0.0,01,passive_skew_signal,0
VEV_6000,0.0,01,passive_skew_signal,0
VEV_5400,0.0,02,skew_taker_toxicity,0
VEV_6500,0.0,02,skew_taker_toxicity,0
VELVETFRUIT_EXTRACT,641.7685546875,02,skew_taker_toxicity,-3
VEV_5500,0.0,02,skew_taker_toxicity,0
VEV_4500,25.386962890625,02,skew_taker_toxicity,5
VEV_5000,-162.7919921875,02,skew_taker_toxicity,60
VEV_4000,134.232177734375,02,skew_taker_toxicity,3
VEV_5100,-786.2587890625,02,skew_taker_toxicity,60
VEV_5200,-504.74755859375,02,skew_taker_toxicity,60
VEV_5300,0.0,02,skew_taker_toxicity,0
HYDROGEL_PACK,0.0,02,skew_taker_toxicity,0
VEV_6000,0.0,02,skew_taker_toxicity,0
VEV_5400,0.0,03,dyn_skew_auto,0
VEV_6500,0.0,03,dyn_skew_auto,0
VELVETFRUIT_EXTRACT,641.7685546875,03,dyn_skew_auto,-3
VEV_5500,0.0,03,dyn_skew_auto,0
VEV_4500,248.55859375,03,dyn_skew_auto,46
VEV_5000,64.848388671875,03,dyn_skew_auto,14
VEV_4000,134.232177734375,03,dyn_skew_auto,3
VEV_5100,25.8111572265625,03,dyn_skew_auto,9
VEV_5200,18.98785400390625,03,dyn_skew_auto,9
VEV_5300,0.0,03,dyn_skew_auto,0
HYDROGEL_PACK,0.0,03,dyn_skew_auto,0
VEV_6000,0.0,03,dyn_skew_auto,0
VEV_5400,0.0,04,dyn_skew_follow,0
VEV_6500,0.0,04,dyn_skew_follow,0
VELVETFRUIT_EXTRACT,641.7685546875,04,dyn_skew_follow,-3
VEV_5500,0.0,04,dyn_skew_follow,0
VEV_4500,248.55859375,04,dyn_skew_follow,46
VEV_5000,64.848388671875,04,dyn_skew_follow,14
VEV_4000,134.232177734375,04,dyn_skew_follow,3
VEV_5100,25.8111572265625,04,dyn_skew_follow,9
VEV_5200,18.98785400390625,04,dyn_skew_follow,9
VEV_5300,0.0,04,dyn_skew_follow,0
HYDROGEL_PACK,0.0,04,dyn_skew_follow,0
VEV_6000,0.0,04,dyn_skew_follow,0
VEV_5400,0.0,05,dyn_skew_fade,0
VEV_6500,0.0,05,dyn_skew_fade,0
VELVETFRUIT_EXTRACT,641.7685546875,05,dyn_skew_fade,-3
VEV_5500,0.0,05,dyn_skew_fade,0
VEV_4500,248.55859375,05,dyn_skew_fade,46
VEV_5000,64.848388671875,05,dyn_skew_fade,14
VEV_4000,134.232177734375,05,dyn_skew_fade,3
VEV_5100,25.8111572265625,05,dyn_skew_fade,9
VEV_5200,18.98785400390625,05,dyn_skew_fade,9
VEV_5300,0.0,05,dyn_skew_fade,0
HYDROGEL_PACK,0.0,05,dyn_skew_fade,0
VEV_6000,0.0,05,dyn_skew_fade,0
VEV_5400,0.0,06,old_options_alpha,0
VEV_6500,0.0,06,old_options_alpha,0
VELVETFRUIT_EXTRACT,641.7685546875,06,old_options_alpha,-3
VEV_5500,0.0,06,old_options_alpha,0
VEV_4500,99.232177734375,06,old_options_alpha,3
VEV_5000,24.6103515625,06,old_options_alpha,3
VEV_4000,134.232177734375,06,old_options_alpha,3
VEV_5100,11.93707275390625,06,old_options_alpha,3
VEV_5200,4.662628173828125,06,old_options_alpha,3
VEV_5300,0.0,06,old_options_alpha,0
HYDROGEL_PACK,0.0,06,old_options_alpha,0
VEV_6000,0.0,06,old_options_alpha,0
VEV_5400,0.0,07,velvet_far_quotes,0
VEV_6500,0.0,07,velvet_far_quotes,0
VELVETFRUIT_EXTRACT,312.154296875,07,velvet_far_quotes,2
VEV_5500,0.0,07,velvet_far_quotes,0
VEV_4500,0.0,07,velvet_far_quotes,0
VEV_5000,0.0,07,velvet_far_quotes,0
VEV_4000,0.0,07,velvet_far_quotes,0
VEV_5100,0.0,07,velvet_far_quotes,0
VEV_5200,0.0,07,velvet_far_quotes,0
VEV_5300,0.0,07,velvet_far_quotes,0
HYDROGEL_PACK,0.0,07,velvet_far_quotes,0
VEV_6000,0.0,07,velvet_far_quotes,0
VEV_5400,0.0,08,velvet_flow_follow,0
VEV_6500,0.0,08,velvet_flow_follow,0
VELVETFRUIT_EXTRACT,74.53125,08,velvet_flow_follow,-19
VEV_5500,0.0,08,velvet_flow_follow,0
VEV_4500,0.0,08,velvet_flow_follow,0
VEV_5000,0.0,08,velvet_flow_follow,0
VEV_4000,0.0,08,velvet_flow_follow,0
VEV_5100,0.0,08,velvet_flow_follow,0
VEV_5200,0.0,08,velvet_flow_follow,0
VEV_5300,0.0,08,velvet_flow_follow,0
HYDROGEL_PACK,0.0,08,velvet_flow_follow,0
VEV_6000,0.0,08,velvet_flow_follow,0
VEV_5400,0.0,09,hydro_far_quotes,0
VEV_6500,0.0,09,hydro_far_quotes,0
VELVETFRUIT_EXTRACT,0.0,09,hydro_far_quotes,0
VEV_5500,0.0,09,hydro_far_quotes,0
VEV_4500,0.0,09,hydro_far_quotes,0
VEV_5000,0.0,09,hydro_far_quotes,0
VEV_4000,0.0,09,hydro_far_quotes,0
VEV_5100,0.0,09,hydro_far_quotes,0
VEV_5200,0.0,09,hydro_far_quotes,0
VEV_5300,0.0,09,hydro_far_quotes,0
HYDROGEL_PACK,489.8203125,09,hydro_far_quotes,-9
VEV_6000,0.0,09,hydro_far_quotes,0
VEV_5400,0.0,10,options_far_quotes,0
VEV_6500,0.0,10,options_far_quotes,0
VELVETFRUIT_EXTRACT,0.0,10,options_far_quotes,0
VEV_5500,0.0,10,options_far_quotes,0
VEV_4500,0.0,10,options_far_quotes,0
VEV_5000,0.0,10,options_far_quotes,0
VEV_4000,0.0,10,options_far_quotes,0
VEV_5100,0.0,10,options_far_quotes,0
VEV_5200,0.0,10,options_far_quotes,0
VEV_5300,0.0,10,options_far_quotes,0
HYDROGEL_PACK,0.0,10,options_far_quotes,0
VEV_6000,0.0,10,options_far_quotes,0
VEV_5400,0.0,11,options_gap_sweep,0
VEV_6500,0.0,11,options_gap_sweep,0
VELVETFRUIT_EXTRACT,0.0,11,options_gap_sweep,0
VEV_5500,0.0,11,options_gap_sweep,0
VEV_4500,9.922607421875,11,options_gap_sweep,-1
VEV_5000,10.0,11,options_gap_sweep,0
VEV_4000,-2424.767822265625,11,options_gap_sweep,3
VEV_5100,23.8741455078125,11,options_gap_sweep,6
VEV_5200,0.0,11,options_gap_sweep,0
VEV_5300,0.0,11,options_gap_sweep,0
HYDROGEL_PACK,0.0,11,options_gap_sweep,0
VEV_6000,0.0,11,options_gap_sweep,0
VEV_5400,0.0,12,options_flow_follow,0
VEV_6500,0.0,12,options_flow_follow,0
VELVETFRUIT_EXTRACT,0.0,12,options_flow_follow,0
VEV_5500,0.0,12,options_flow_follow,0
VEV_4500,0.0,12,options_flow_follow,0
VEV_5000,0.0,12,options_flow_follow,0
VEV_4000,-409.1484375,12,options_flow_follow,11
VEV_5100,0.0,12,options_flow_follow,0
VEV_5200,0.0,12,options_flow_follow,0
VEV_5300,0.0,12,options_flow_follow,0
HYDROGEL_PACK,0.0,12,options_flow_follow,0
VEV_6000,0.0,12,options_flow_follow,0
VEV_5400,0.0,13,options_flow_fade,0
VEV_6500,0.0,13,options_flow_fade,0
VELVETFRUIT_EXTRACT,0.0,13,options_flow_fade,0
VEV_5500,0.0,13,options_flow_fade,0
VEV_4500,0.0,13,options_flow_fade,0
VEV_5000,0.0,13,options_flow_fade,0
VEV_4000,-317.8515625,13,options_flow_fade,-11
VEV_5100,0.0,13,options_flow_fade,0
VEV_5200,0.0,13,options_flow_fade,0
VEV_5300,0.0,13,options_flow_fade,0
HYDROGEL_PACK,0.0,13,options_flow_fade,0
VEV_6000,0.0,13,options_flow_fade,0
VEV_5400,-214.0616455078125,14,iv_momentum_conservative,-80
VEV_6500,0.0,14,iv_momentum_conservative,0
VELVETFRUIT_EXTRACT,749.875,14,iv_momentum_conservative,-183
VEV_5500,0.0,14,iv_momentum_conservative,0
VEV_4500,243.484375,14,iv_momentum_conservative,45
VEV_5000,64.64501953125,14,iv_momentum_conservative,13
VEV_4000,134.232177734375,14,iv_momentum_conservative,3
VEV_5100,25.8321533203125,14,iv_momentum_conservative,8
VEV_5200,19.43365478515625,14,iv_momentum_conservative,8
VEV_5300,0.0,14,iv_momentum_conservative,0
HYDROGEL_PACK,0.0,14,iv_momentum_conservative,0
VEV_6000,0.0,14,iv_momentum_conservative,0
VEV_5400,-251.0771484375,15,iv_momentum_aggro,-100
VEV_6500,0.0,15,iv_momentum_aggro,0
VELVETFRUIT_EXTRACT,749.875,15,iv_momentum_aggro,-183
VEV_5500,0.0,15,iv_momentum_aggro,0
VEV_4500,243.484375,15,iv_momentum_aggro,45
VEV_5000,-1717.345703125,15,iv_momentum_aggro,-100
VEV_4000,134.232177734375,15,iv_momentum_aggro,3
VEV_5100,-1331.90234375,15,iv_momentum_aggro,-100
VEV_5200,-953.4208984375,15,iv_momentum_aggro,-100
VEV_5300,0.0,15,iv_momentum_aggro,0
HYDROGEL_PACK,0.0,15,iv_momentum_aggro,0
VEV_6000,0.0,15,iv_momentum_aggro,0
VEV_5400,-76.96142578125,16,vol_harvest_unhedged,50
VEV_6500,0.0,16,vol_harvest_unhedged,0
VELVETFRUIT_EXTRACT,641.7685546875,16,vol_harvest_unhedged,-3
VEV_5500,-25.8680419921875,16,vol_harvest_unhedged,50
VEV_4500,0.0,16,vol_harvest_unhedged,0
VEV_5000,-201.8271484375,16,vol_harvest_unhedged,50
VEV_4000,134.232177734375,16,vol_harvest_unhedged,3
VEV_5100,-175.048828125,16,vol_harvest_unhedged,50
VEV_5200,-100.28955078125,16,vol_harvest_unhedged,50
VEV_5300,-145.263916015625,16,vol_harvest_unhedged,50
HYDROGEL_PACK,0.0,16,vol_harvest_unhedged,0
VEV_6000,0.0,16,vol_harvest_unhedged,0
VEV_5400,0.0,17,participant_adverse_diagnostic,0
VEV_6500,-15.0,17,participant_adverse_diagnostic,15
VELVETFRUIT_EXTRACT,0.0,17,participant_adverse_diagnostic,0
VEV_5500,0.0,17,participant_adverse_diagnostic,0
VEV_4500,0.0,17,participant_adverse_diagnostic,0
VEV_5000,0.0,17,participant_adverse_diagnostic,0
VEV_4000,0.0,17,participant_adverse_diagnostic,0
VEV_5100,0.0,17,participant_adverse_diagnostic,0
VEV_5200,0.0,17,participant_adverse_diagnostic,0
VEV_5300,0.0,17,participant_adverse_diagnostic,0
HYDROGEL_PACK,0.0,17,participant_adverse_diagnostic,0
VEV_6000,-14.98852252960205,17,participant_adverse_diagnostic,15
