run,strategy,product,quote_rows,sum_far_probe,max_far_probe,sum_gap_sweep,max_gap_sweep,sum_flow_probe,max_flow_probe,mean_flow_score,last_flow_score,sum_n_far_probes,max_n_far_probes,sum_fills_tracked,max_fills_tracked,sum_adverse_count,max_adverse_count,sum_named_market_trades,max_named_market_trades,mean_adverse_rate,last_adverse_rate,mean_avg_signed_mtm,last_avg_signed_mtm,mean_session_phase,last_session_phase
00A,basket_all_far_quotes,VEV_5200,1000,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
00A,basket_all_far_quotes,VEV_5400,960,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
00A,basket_all_far_quotes,VEV_5500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_5200,980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_5300,20,0.0,0.0,0.0,0.0,1.0,1.0,0.08554999999999999,-0.88,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_5400,730,0.0,0.0,0.0,0.0,26.0,1.0,-0.3275109589041096,-1.0,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_5500,150,0.0,0.0,0.0,0.0,8.0,1.0,-0.8182066666666666,-1.0,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_6000,20,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,
00B,basket_all_gap_flow_follow,VEV_6500,40,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,
00C,basket_all_options_flow_fade,VEV_5200,980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
00C,basket_all_options_flow_fade,VEV_5300,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.6563000000000001,-1.0,,,,,,,,,,,,,,
00C,basket_all_options_flow_fade,VEV_5400,740,0.0,0.0,0.0,0.0,26.0,1.0,-0.26689324324324326,-1.0,,,,,,,,,,,,,,
00C,basket_all_options_flow_fade,VEV_5500,200,0.0,0.0,0.0,0.0,10.0,1.0,-0.7657400000000001,0.549,,,,,,,,,,,,,,
00C,basket_all_options_flow_fade,VEV_6500,20,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,
07,velvet_far_quotes,VELVETFRUIT_EXTRACT,1000,,,,,,,0.0,0.0,,,,,,,,,,,,,,
08,velvet_flow_follow,VELVETFRUIT_EXTRACT,1000,,,,,,,0.0,0.0,,,,,,,,,,,,,,
09,hydro_far_quotes,HYDROGEL_PACK,1000,,,,,,,0.0,0.0,,,,,,,,,,,,,,
10,options_far_quotes,VEV_4500,1000,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,options_far_quotes,VEV_5100,970,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,options_far_quotes,VEV_5200,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
11,options_gap_sweep,VEV_4000,1000,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
11,options_gap_sweep,VEV_4500,1000,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
11,options_gap_sweep,VEV_5200,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
12,options_flow_follow,VEV_4000,1000,0.0,0.0,0.0,0.0,35.0,1.0,0.25808000000000003,0.875,,,,,,,,,,,,,,
12,options_flow_follow,VEV_4500,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
12,options_flow_follow,VEV_5200,710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
13,options_flow_fade,VEV_4000,1000,0.0,0.0,0.0,0.0,35.0,1.0,0.25808000000000003,0.875,,,,,,,,,,,,,,
13,options_flow_fade,VEV_4500,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
13,options_flow_fade,VEV_5200,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
17,participant_adverse_diagnostic,VEV_5300,10,,,,,,,,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,participant_adverse_diagnostic,VEV_5400,990,,,,,,,,,2990.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02020202020202,2.0
17,participant_adverse_diagnostic,VEV_5500,10,,,,,,,,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,participant_adverse_diagnostic,VEV_6000,890,,,,,,,,,2860.0,5.0,8535.0,15.0,8535.0,15.0,0.0,0.0,1.0,1.0,-0.5,-0.5,1.1235955056179776,2.0
