run,strategy,submission_id,profit,status,trade_count,volume,activity_hash
00A,basket_all_far_quotes,af02de0e-8f54-4d37-b0f4-55ac3c7371cd,759.9906768798828,FINISHED,127,211,fb716fc58b88c179
00B,basket_all_gap_flow_follow,a2fe8ec1-7870-45b5-951e-a9b1fdb068e9,-3275.5624137491764,FINISHED,1075,1165,fb716fc58b88c179
00C,basket_all_options_flow_fade,71f2da0c-5068-4126-ba65-9cbc1d8c4870,-586.666223526001,FINISHED,207,207,fb716fc58b88c179
01,passive_skew_signal,0e47666d-9f8e-4cae-bf86-de7f81934245,775.737419128418,FINISHED,58,291,fb716fc58b88c179
02,skew_taker_toxicity,c8c1591e-c918-4865-9db0-b6c74963a1bf,-652.41064453125,FINISHED,184,1125,fb716fc58b88c179
03,dyn_skew_auto,c298a594-bf17-4ce3-ae48-285f6cc4f840,1134.2067260742188,FINISHED,82,366,fb716fc58b88c179
04,dyn_skew_follow,72d23c7c-c8b8-408b-8962-23ed4d76eeeb,1134.2067260742188,FINISHED,82,366,fb716fc58b88c179
05,dyn_skew_fade,322fffe6-6a7a-4f50-b879-67c57d6d845f,1134.2067260742188,FINISHED,82,366,fb716fc58b88c179
06,old_options_alpha,d45235b3-ce5a-4008-979e-efd29718698e,916.4429626464844,FINISHED,87,348,fb716fc58b88c179
07,velvet_far_quotes,0d886ce3-9e6f-4887-b1f1-2cbf3dbdf999,312.154296875,FINISHED,65,134,fb716fc58b88c179
08,velvet_flow_follow,3ea636f2-343e-495d-9a33-0a74dd0ff73f,74.53125,FINISHED,389,823,fb716fc58b88c179
09,hydro_far_quotes,4de4576d-26d9-439f-950f-ff83f91d3d3e,489.8203125,FINISHED,20,35,fb716fc58b88c179
10,options_far_quotes,b7572a83-3989-43ea-bca7-b26bccd1aaf6,0.0,FINISHED,0,0,fb716fc58b88c179
11,options_gap_sweep,ee8e8aff-cc69-4b73-ab52-89310605fd16,-2380.9710693359375,FINISHED,300,300,fb716fc58b88c179
12,options_flow_follow,e862cf6a-b52a-4f81-b03f-0d089eccec14,-409.1484375,FINISHED,35,35,fb716fc58b88c179
13,options_flow_fade,08885b7c-22ae-4c9e-84d5-745502c0bdce,-317.8515625,FINISHED,35,35,fb716fc58b88c179
14,iv_momentum_conservative,968fee3a-29c0-4a2a-a125-e728066eea10,1023.4407348632812,FINISHED,292,1396,fb716fc58b88c179
15,iv_momentum_aggro,1d4f3007-5f37-4754-ba49-f8cb5a5e5d7d,-3126.154541015625,FINISHED,472,3217,fb716fc58b88c179
16,vol_harvest_unhedged,c961753a-7275-4d7b-9e5e-ed603b834a28,50.7418212890625,FINISHED,98,588,fb716fc58b88c179
17,participant_adverse_diagnostic,e314f09b-4fb8-4e17-a8e3-ae037fa2988e,-29.98852252960205,FINISHED,30,30,fb716fc58b88c179
