product,ar1_resid
GALAXY_SOUNDS_BLACK_HOLES,-0.016726839308628443
GALAXY_SOUNDS_DARK_MATTER,-0.01174654944904004
GALAXY_SOUNDS_PLANETARY_RINGS,-0.0030514737933536196
GALAXY_SOUNDS_SOLAR_FLAMES,-0.011988495814983456
GALAXY_SOUNDS_SOLAR_WINDS,-0.0072143491510248655
MICROCHIP_CIRCLE,-0.005137275657598438
MICROCHIP_OVAL,-0.0074141910534744684
MICROCHIP_RECTANGLE,-0.0025463366582233193
MICROCHIP_SQUARE,-0.022028877449118557
MICROCHIP_TRIANGLE,-0.007716475151289557
OXYGEN_SHAKE_CHOCOLATE,-0.08215417448462266
OXYGEN_SHAKE_EVENING_BREATH,-0.11799933135124403
OXYGEN_SHAKE_GARLIC,-0.003157495611889783
OXYGEN_SHAKE_MINT,-0.0031820534643787063
OXYGEN_SHAKE_MORNING_BREATH,-0.005246331530827946
PANEL_1X2,-0.0022216696247500437
PANEL_1X4,-0.0013246783140500016
PANEL_2X2,-0.009593054675310077
PANEL_2X4,-0.0014534229679052787
PANEL_4X4,-0.006248170015887198
PEBBLES_L,0.005423424025020084
PEBBLES_M,-0.013023858132608838
PEBBLES_S,0.006416319836862442
PEBBLES_XL,-0.03631006140615032
PEBBLES_XS,-0.014082616208068192
ROBOT_DISHES,-0.2216557012374978
ROBOT_IRONING,-0.1208423919374951
ROBOT_LAUNDRY,0.00604018359729291
ROBOT_MOPPING,-0.012124888849775405
ROBOT_VACUUMING,-0.007912979455242341
SLEEP_POD_COTTON,-0.0024129593939128846
SLEEP_POD_LAMB_WOOL,0.003893615999227291
SLEEP_POD_NYLON,0.0008545647990773191
SLEEP_POD_POLYESTER,-0.0012708774223864677
SLEEP_POD_SUEDE,-0.0066829733977626996
SNACKPACK_CHOCOLATE,-0.030936324066240743
SNACKPACK_PISTACHIO,-0.02501170885593311
SNACKPACK_RASPBERRY,-0.01697028210277611
SNACKPACK_STRAWBERRY,-0.013687940044026733
SNACKPACK_VANILLA,-0.026928952612538113
TRANSLATOR_ASTRO_BLACK,-0.006664925044609241
TRANSLATOR_ECLIPSE_CHARCOAL,-0.006793338373388987
TRANSLATOR_GRAPHITE_MIST,-0.003591823698120456
TRANSLATOR_SPACE_GRAY,0.00752969017466002
TRANSLATOR_VOID_BLUE,-0.00895773235887513
UV_VISOR_AMBER,-0.003047668327823943
UV_VISOR_MAGENTA,-0.0030683531625971456
UV_VISOR_ORANGE,0.0011785518538737164
UV_VISOR_RED,-0.0036977358838650772
UV_VISOR_YELLOW,0.0029230671008422153
