group,intra_var,factor_var,intra_to_factor_ratio,cohesion
GALAXY_SOUNDS,1.0075801127802636e-06,2.0260497616883918e-07,0.9946252375762036,0.001358832075318365
SLEEP_POD,1.0062398132290264e-06,2.046079550308393e-07,0.9835783883157057,0.0041564269406928495
MICROCHIP,1.984920225706949e-06,4.0863418899458066e-07,0.9714900412962134,0.007164468580861403
PEBBLES,3.4250057582397766e-06,2.506792098525075e-08,27.32580623861829,-0.19396949767682858
ROBOT,1.1463354377888135e-06,2.2921133452972336e-07,1.0002432385298647,2.3947200248011606e-05
UV_VISOR,1.0059481919632291e-06,2.0638676315774596e-07,0.974818517013478,0.0064395787031504
TRANSLATOR,1.002159430412229e-06,2.022113884214157e-07,0.9911997916988664,0.0022282848618466015
PANEL,1.0124940465364025e-06,2.0372880939249864e-07,0.993962561854232,0.0014964833952109651
OXYGEN_SHAKE,1.2025553275952636e-06,2.4428871814500736e-07,0.9845361150746541,0.003833706584077414
SNACKPACK,4.888644333343049e-07,2.5930806720947984e-08,3.7705300771794334,-0.16255284015902327
