leader,follower,lag,corr
OXYGEN_SHAKE,SNACKPACK,1,-0.08250866274930602
SNACKPACK,UV_VISOR,1,-0.07205177975110709
SNACKPACK,GALAXY_SOUNDS,1,-0.0702577444553448
GALAXY_SOUNDS,SNACKPACK,1,-0.06807089169271718
UV_VISOR,SNACKPACK,1,-0.06740901647216813
SNACKPACK,OXYGEN_SHAKE,1,-0.0653962399225902
TRANSLATOR,SNACKPACK,1,-0.062457936097473875
PANEL,SNACKPACK,1,-0.05468028918512666
SNACKPACK,TRANSLATOR,1,-0.05230004635194654
SNACKPACK,SLEEP_POD,1,-0.05089577786694176
SLEEP_POD,SNACKPACK,1,-0.050427563795416755
SNACKPACK,PANEL,1,-0.04941074448703997
ROBOT,SNACKPACK,1,-0.03513452419901017
UV_VISOR,OXYGEN_SHAKE,1,-0.02688030493362242
SNACKPACK,ROBOT,1,-0.025571255820488026
SLEEP_POD,OXYGEN_SHAKE,1,-0.025501425000540204
TRANSLATOR,GALAXY_SOUNDS,1,-0.02139751535799266
OXYGEN_SHAKE,UV_VISOR,1,-0.020957685693560043
MICROCHIP,TRANSLATOR,1,0.02081787615158082
PANEL,GALAXY_SOUNDS,1,-0.02057048533054739
OXYGEN_SHAKE,GALAXY_SOUNDS,1,-0.018977268735173945
PEBBLES,ROBOT,50,-0.016406061358712778
OXYGEN_SHAKE,MICROCHIP,50,-0.015979623924999388
PANEL,UV_VISOR,1,-0.015406310443647295
PEBBLES,GALAXY_SOUNDS,200,-0.014218074322047062
UV_VISOR,PANEL,1,-0.01383644713442485
PEBBLES,UV_VISOR,10,0.013733514598781076
PEBBLES,OXYGEN_SHAKE,200,-0.013708399084646206
PEBBLES,SNACKPACK,50,0.013401766715969494
PANEL,PEBBLES,5,-0.013376301671818936
SLEEP_POD,PANEL,1,-0.013046659110820895
MICROCHIP,UV_VISOR,1,-0.012969259952986366
ROBOT,PANEL,1,-0.012966080752059395
GALAXY_SOUNDS,OXYGEN_SHAKE,1,-0.012949609362429804
OXYGEN_SHAKE,TRANSLATOR,1,-0.012854103154250335
MICROCHIP,SLEEP_POD,200,-0.012843620278589768
MICROCHIP,ROBOT,200,0.01277797574605321
SLEEP_POD,GALAXY_SOUNDS,1,-0.012260949903104749
TRANSLATOR,PANEL,1,-0.012207439249714645
ROBOT,UV_VISOR,50,0.012183690741928696
PANEL,MICROCHIP,50,-0.012178575553535671
PEBBLES,PANEL,200,-0.011269622844511573
MICROCHIP,PANEL,5,-0.011144842534026991
TRANSLATOR,UV_VISOR,1,-0.011118640828566369
GALAXY_SOUNDS,PANEL,1,-0.010950720883738971
SLEEP_POD,TRANSLATOR,5,0.010816774611471524
PANEL,OXYGEN_SHAKE,1,-0.010685196971873413
TRANSLATOR,SLEEP_POD,1,-0.01046967616732504
GALAXY_SOUNDS,SLEEP_POD,1,-0.010422874951578304
PANEL,SLEEP_POD,5,-0.009943587892186061
UV_VISOR,MICROCHIP,50,-0.009686224345783116
OXYGEN_SHAKE,ROBOT,1,-0.009480758918042538
SNACKPACK,MICROCHIP,10,-0.009475228232916343
UV_VISOR,GALAXY_SOUNDS,1,-0.009429150576879937
ROBOT,SLEEP_POD,1,-0.009343997775530213
UV_VISOR,TRANSLATOR,1,-0.00919664758749779
TRANSLATOR,ROBOT,1,-0.009158944942232003
GALAXY_SOUNDS,ROBOT,5,0.009089013438990002
MICROCHIP,PEBBLES,1,-0.009067416035461014
OXYGEN_SHAKE,SLEEP_POD,200,0.008922661250775746
ROBOT,GALAXY_SOUNDS,200,-0.008905710552974809
UV_VISOR,SLEEP_POD,1,-0.0088937756209285
MICROCHIP,GALAXY_SOUNDS,5,0.008741621517255169
TRANSLATOR,PEBBLES,1,-0.008491457201186514
ROBOT,TRANSLATOR,10,-0.008311616055207539
GALAXY_SOUNDS,TRANSLATOR,5,0.008276520676273236
MICROCHIP,OXYGEN_SHAKE,1,0.008088960549898438
SLEEP_POD,ROBOT,200,-0.007932223271584628
GALAXY_SOUNDS,MICROCHIP,50,-0.007811850333824918
ROBOT,PEBBLES,1,-0.007655062747280806
ROBOT,OXYGEN_SHAKE,5,-0.007581303702694716
PANEL,TRANSLATOR,1,-0.0075801077920049035
GALAXY_SOUNDS,PEBBLES,10,-0.007544184389282559
PANEL,ROBOT,200,-0.0071716494630457185
TRANSLATOR,MICROCHIP,5,-0.0067665964358062354
PEBBLES,MICROCHIP,1,-0.006705938137225121
TRANSLATOR,OXYGEN_SHAKE,50,0.006603660818807151
OXYGEN_SHAKE,PANEL,1,-0.006518485814914785
UV_VISOR,ROBOT,50,-0.006481679100196925
PEBBLES,TRANSLATOR,1,-0.006105766966611727
UV_VISOR,PEBBLES,1,0.005999892095471184
SLEEP_POD,UV_VISOR,10,0.005909275595600833
SLEEP_POD,MICROCHIP,50,0.005572829063668033
PEBBLES,SLEEP_POD,1,0.005349372320035392
GALAXY_SOUNDS,UV_VISOR,200,0.005278720154236974
SNACKPACK,PEBBLES,10,0.004711225759439744
SLEEP_POD,PEBBLES,1,-0.004638694956440821
MICROCHIP,SNACKPACK,1,-0.0040668737508452
ROBOT,MICROCHIP,50,-0.003658444111730453
OXYGEN_SHAKE,PEBBLES,200,0.0017502828274466808
