group_a,group_b,pearson,spearman,abs_pearson
UV_VISOR,SNACKPACK,0.15026548971541706,0.07376694551114278,0.15026548971541706
OXYGEN_SHAKE,SNACKPACK,0.14317071371826315,0.07477847125570926,0.14317071371826315
GALAXY_SOUNDS,SNACKPACK,0.1377022057437632,0.06633577867518768,0.1377022057437632
TRANSLATOR,SNACKPACK,0.11574533900723247,0.06469775524071206,0.11574533900723247
PANEL,SNACKPACK,0.11084339115409104,0.058154046437470686,0.11084339115409104
SLEEP_POD,SNACKPACK,0.10418960827661954,0.05276944193342513,0.10418960827661954
ROBOT,SNACKPACK,0.0668785007301198,0.04613245513150766,0.0668785007301198
GALAXY_SOUNDS,OXYGEN_SHAKE,0.03513341663215916,0.02948686001870429,0.03513341663215916
UV_VISOR,PANEL,0.026625848933951875,0.024788324629377773,0.026625848933951875
GALAXY_SOUNDS,TRANSLATOR,0.02569807179740886,0.021936489994031864,0.02569807179740886
UV_VISOR,OXYGEN_SHAKE,0.025409663355351,0.028748658509749232,0.025409663355351
GALAXY_SOUNDS,UV_VISOR,0.024681727504865733,0.022328640187732906,0.024681727504865733
SLEEP_POD,PANEL,0.024110253319809403,0.0233568698533034,0.024110253319809403
UV_VISOR,TRANSLATOR,0.022706878841745024,0.019436099924581063,0.022706878841745024
GALAXY_SOUNDS,PANEL,0.022158141496888478,0.019210590063871744,0.022158141496888478
SLEEP_POD,OXYGEN_SHAKE,0.020363336339363304,0.0205187942627224,0.020363336339363304
GALAXY_SOUNDS,SLEEP_POD,0.020241308610798443,0.017668537301133363,0.020241308610798443
PANEL,OXYGEN_SHAKE,0.01968068078673181,0.020412620141768447,0.01968068078673181
SLEEP_POD,UV_VISOR,0.018297432545054212,0.017473319658025094,0.018297432545054212
TRANSLATOR,OXYGEN_SHAKE,0.017082989913577484,0.019966099122660924,0.017082989913577484
ROBOT,UV_VISOR,0.015662629118982807,0.01395110956640482,0.015662629118982807
ROBOT,OXYGEN_SHAKE,0.014401278720306592,0.01792361545950542,0.014401278720306592
SLEEP_POD,TRANSLATOR,0.01407906995672331,0.012234764469926654,0.01407906995672331
GALAXY_SOUNDS,ROBOT,0.013881953596643093,0.018400296806799308,0.013881953596643093
TRANSLATOR,PANEL,0.013693606079457098,0.012134614367361164,0.013693606079457098
ROBOT,TRANSLATOR,0.010128404761600948,0.009705434769692507,0.010128404761600948
ROBOT,PANEL,0.009758482826527162,0.009593914592810402,0.009758482826527162
MICROCHIP,TRANSLATOR,-0.00964099883602261,-0.00858469658169313,0.00964099883602261
SLEEP_POD,ROBOT,0.007886589165035823,0.010892778441420586,0.007886589165035823
MICROCHIP,ROBOT,-0.007596379424025853,-0.008666126997223291,0.007596379424025853
SLEEP_POD,MICROCHIP,-0.006896246223811193,-0.005561424392302732,0.006896246223811193
PEBBLES,ROBOT,0.00668082215184512,0.003970194562413129,0.00668082215184512
MICROCHIP,OXYGEN_SHAKE,-0.005494266721115827,-0.007639929225724427,0.005494266721115827
SLEEP_POD,PEBBLES,-0.005295044893376239,-0.004755827534851646,0.005295044893376239
MICROCHIP,UV_VISOR,-0.004761519302068197,-0.0048356270288459355,0.004761519302068197
PEBBLES,SNACKPACK,0.004609004979025412,0.006038779034489979,0.004609004979025412
PEBBLES,PANEL,0.004529458266200879,0.004326603835213291,0.004529458266200879
GALAXY_SOUNDS,PEBBLES,0.0032397266333591304,0.004127766899517137,0.0032397266333591304
MICROCHIP,PEBBLES,-0.0030186010711695495,-0.004953561215335842,0.0030186010711695495
GALAXY_SOUNDS,MICROCHIP,0.002960804137895657,0.0017789954635930362,0.002960804137895657
PEBBLES,UV_VISOR,0.0022565033424201695,0.0022995072073885006,0.0022565033424201695
PEBBLES,OXYGEN_SHAKE,-0.0022558123199299747,-0.0018216342542666443,0.0022558123199299747
MICROCHIP,SNACKPACK,-0.0020791717440060784,-0.0019176971234527139,0.0020791717440060784
PEBBLES,TRANSLATOR,-0.0007187366351896033,0.0003434153736631481,0.0007187366351896033
MICROCHIP,PANEL,-0.0003757028195302809,-0.0021775778458344103,0.0003757028195302809
