product,profit_and_loss
GALAXY_SOUNDS_BLACK_HOLES,2618.5703125
GALAXY_SOUNDS_DARK_MATTER,-3833.5859375
GALAXY_SOUNDS_PLANETARY_RINGS,-7257.125
GALAXY_SOUNDS_SOLAR_FLAMES,0.0
GALAXY_SOUNDS_SOLAR_WINDS,267.8125
MICROCHIP_CIRCLE,1228.15234375
MICROCHIP_OVAL,2619.31640625
MICROCHIP_RECTANGLE,-545.40625
MICROCHIP_SQUARE,2754.0234375
MICROCHIP_TRIANGLE,3035.890625
OXYGEN_SHAKE_CHOCOLATE,1495.61328125
OXYGEN_SHAKE_EVENING_BREATH,-335.0
OXYGEN_SHAKE_GARLIC,3515.6796875
OXYGEN_SHAKE_MINT,0.0
OXYGEN_SHAKE_MORNING_BREATH,-3371.6796875
PANEL_1X2,0.0
PANEL_1X4,-2395.1328125
PANEL_2X2,-2806.08984375
PANEL_2X4,2045.8671875
PANEL_4X4,0.0
PEBBLES_L,746.515625
PEBBLES_M,0.0
PEBBLES_S,1277.15625
PEBBLES_XL,-1629.75
PEBBLES_XS,0.0
ROBOT_DISHES,-4499.9453125
ROBOT_IRONING,2914.0
ROBOT_LAUNDRY,-2397.90234375
ROBOT_MOPPING,0.0
ROBOT_VACUUMING,0.0
SLEEP_POD_COTTON,6479.6953125
SLEEP_POD_LAMB_WOOL,0.0
SLEEP_POD_NYLON,2565.15625
SLEEP_POD_POLYESTER,2692.53125
SLEEP_POD_SUEDE,1240.28125
SNACKPACK_CHOCOLATE,735.171875
SNACKPACK_PISTACHIO,749.66796875
SNACKPACK_RASPBERRY,-870.796875
SNACKPACK_STRAWBERRY,1245.8984375
SNACKPACK_VANILLA,363.109375
TRANSLATOR_ASTRO_BLACK,2867.9609375
TRANSLATOR_ECLIPSE_CHARCOAL,3963.1875
TRANSLATOR_GRAPHITE_MIST,0.0
TRANSLATOR_SPACE_GRAY,0.0
TRANSLATOR_VOID_BLUE,1559.6953125
UV_VISOR_AMBER,-2161.7578125
UV_VISOR_MAGENTA,0.0
UV_VISOR_ORANGE,4123.6640625
UV_VISOR_RED,3822.203125
UV_VISOR_YELLOW,-213.6328125
