rank,trader_id,total_pnl,max_drawdown,recovery,avg_fill,percentile_rank
1,069a45af-f4fd-4285-a87a-75419d973181,11893.672,552,21.55,5.32,100.0
2,35d0f53d-e353-4142-b108-a65792eed6a5,11799.375,589.313,20.02,5.33,100.0
3,416dac45-85c4-4ef3-adae-b255aceed3f5,11641.594,834.438,13.95,5.95,99.9
4,180b4eac-c2bf-4c94-ab0c-6d0e64ac5f04,11461.133,478.172,23.97,5.45,99.9
5,97ad9f2f-b3f7-49d0-8501-9b9cbd41e441,11398.438,498.326,22.87,5.13,99.9
6,173d4ec0-e902-487c-9e7d-88ccde163af7,11357.398,586.768,19.36,5.58,99.8
7,86466547-ca73-4481-942c-9c1933342614,11259.531,438,25.71,5.92,99.8
8,bc993b0f-d63a-4d5c-8af9-aa28fedc759a,11214.375,435.553,25.75,5.42,99.8
9,64ff1569-b94f-4d75-b93b-f6cf1c135ad6,11203.344,382.732,29.27,5.77,99.7
10,8d3978f8-af58-4a52-9150-319239bbb87c,11183.453,406.223,27.53,5.51,99.7
11,23255304-8205-46c6-bafe-1f800a07714a,11147.063,492.922,22.61,5.9,99.7
12,8b94b58c-9c87-4d71-8ec7-dc63e5c785a3,11072.719,513.943,21.54,5.27,99.6
13,6e81e82c-7e31-43f3-b889-f8474dd3d769,11005.406,543.563,20.25,6,99.6
14,7813f1bc-2a57-4d25-926b-266bfaea891a,10852.531,763.344,14.22,5.84,99.6
15,031e0edc-ac7c-43de-89c9-375bc040b657,10779.375,490.375,21.98,5.98,99.5
16,fec7f3c1-3d86-46a3-8b95-7c78a142aa5b,10707.324,514.379,20.82,4.93,99.5
17,339bfc80-525d-403c-b3cf-33918b700744,10684.438,524.773,20.36,5.48,99.5
18,836ed319-17b7-4575-acf4-f000b65c2086,10668.375,420.789,25.35,5.43,99.4
19,82822fd2-4d9f-4a1f-83bb-4e652e82f0ad,10658.781,556.875,19.14,5.99,99.4
20,26bd6e30-5217-47d0-a42f-6f6667b6f873,10645.938,480.375,22.16,5.75,99.4
